Word,Count
/,22327
the,11025
*,8800
to,5589
of,5300
,3634
is,3349
a,2901
//////////////////////////////////////////////////////////,2757
and,2438
The,2126
be,2109
@see,2083
in,2035
or,1613
OR,1447
for,1386
This,1362
this,1347
function,1296
window,1287
not,1241
THE,1234
\brief,1185
from,1083
\param,1032
it,977
software,954
-,901
that,885
if,876
any,868
OF,837
IN,821
you,751
matrix,744
gtc_type_precision,730
integer,705
use,702
an,687
as,667
floating-point,656
precision,649
=,637
<a,620
vector,619
must,610
SOFTWARE,603
@ref,602
Software,600
bit,586
may,585
will,575
without,571
/<,569
OpenGL,559
on,545
with,537
type,532
are,529
called,526
all,523
section,519
components,513
notice,513
by,507
@brief,506
\return,504
\specification,\,498
\href="\http://www.opengl.org/registry/doc/GLSLangSpec.4.20.8.pdf"\>GLSL\,495
4.20.8,495
GLFW,492
@par,480
specified,476
@ingroup,468
If,463
@param[in],459
//,447
data,439
no,436
value,428
input,426
3,421
ANY,419
can,418
set,415
@sa,414
callback,413
FOR,412
copies,409
OTHER,406
2,404
/////////////////////////////////////////////////////////////////////////////////,398
thread,394
A,393
namespace,386
Copyright,383
x,378
source,374
only,366
+,366
following,364
unsigned,355
documentation,350
texture,339
4,337
\see,331
Added,328
including,324
Returns,321
const,321
&,316
Permission,310
subject,309
do,304
current,289
which,285
Thread,285
monitor,282
Safety,282
position,281
copy,281
signed,280
included,278
used,275
but,272
was,268
`NULL`,267
(c),266
size,264
1,258
event,256
Mathematics,252
Creation,251
key,250
G-Truc,250
(www.g-truc.net),250
free,249
2005,249
context,248
numbers,247
************************************************************************,241
scalar,237
\a,237
@since,237
file,235
2014,235
image,234
files,234
new,232
:,231
has,230
original,229
returns,229
component,229
functions,228
(the,228
associated,225
bits,223
above,219
glm,218
when,216
deal,216
main,216
and/or,215
AND,215
left,214
number,213
NOT,212
single-precision,212
BUT,209
\LIABILITY,\,209
\so,\,209
\use,\,209
LIMITED,209
copyright,209
\"\AS\,207
rights,207
COPYRIGHT,207
WARRANTIES,207
\CONTRACT,\,206
permission,206
NO,206
DAMAGES,206
TORT,206
OUT,206
EVENT,206
ARISING,206
PARTICULAR,206
PURPOSE,206
LIABLE,206
FITNESS,206
EXPRESS,206
BE,206
USE,206
SHALL,206
PROVIDED,206
WHETHER,206
Default,205
return,205
core,205
limitation,204
\copy,\,204
\granted,\,204
IS,204
\modify,\,204
WITHOUT,204
\KIND,\,204
------------------------,204
HOLDERS,204
\OTHERWISE,\,203
TO,203
furnished,203
person,203
sell,203
\CLAIM,\,203
substantial,203
persons,203
\IS"\,\,203
\charge,\,203
\merge,\,203
\FROM,\,203
AN,203
hereby,203
extension,203
shall,203
\restriction,\,203
permit,203
CONNECTION,203
\IMPLIED,\,203
INCLUDING,203
portions,203
\sublicense,\,203
\MERCHANTABILITY,\,203
\distribute,\,203
DEALINGS,203
WITH,203
conditions:,203
\publish,\,203
ACTION,203
WARRANTY,203
NONINFRINGEMENT,203
obtaining,203
whom,203
first,202
AUTHORS,201
one,201
\"\Software"\),\,200
\Software,\,200
we,200
(glm.g-truc.net),198
-------------------------,197
types,196
cursor,195
returned,195
need,195
{,195
@date,189
have,189
@author,189
@file,189
sequence,185
mode,184
Christophe,183
Riccio,183
shader,183
--------------------------,181
-----------------------,181
been,181
y,181
error,180
string,180
its,178
@return,173
Low,173
point,172
character,172
library,171
end,171
right,170
3.0,169
/////////////////////////////////////////////////////////////////////////////////////////////////,168
////////////////////////////////////,168
32,167
Medium,167
},167
screen,166
sound,166
It,166
operand,165
SFML,163
Precision,163
Qualifier</a>,162
4.7.2,162
so,161
values,161
class,161
object,160
array,159
P>,159
into,158
more,156
time,156
at,156
<<,153
In,151
these,149
double-precision,149
Iterator,148
T,148
color,148
**,147
True,146
operator,146
client,145
actual,145
using,144
High,144
provided,142
pointer,142
(a,142
operators,140
buffer,139
held,139
Get,138
output,137
other,136
There,135
\endcode,134
\code,134
before,134
than,133
product,133
each,133
From,132
would,132
4.1.6,132
Matrices</a>,132
being,132
----------------------,132
origin,132
code,131
Functions</a>,130
between,129
@{,128
vertex,128
columns,127
required,127
@},127
template,127
parameter,126
@param,126
!<,126
pixels,125
want,125
Return,124
name,124
should,123
pointing,123
man,122
handle,122
versions,122
64,122
signature,121
page</a>,121
guarantee,121
@defgroup,121
mouse,120
audio,120
default,120
area,118
constructor,117
stream,116
(C),116
whose,115
@tparam,115
\window,\,115
occurred,115
8,115
range,115
removed,114
\li,114
16,114
(dependence),113
version,113
system,112
For,112
two,112
Library,112
distribution,112
0,111
\callback,\,111
\product,\,110
anyone,110
store,110
joystick,110
(From,109
socket,108
warranty,108
then,108
wrote,107
your,107
express,107
marked,107
granted,107
implied,107
misrepresented,106
does,106
acknowledgment,106
alter,106
claim,106
\'as-is',\,106
authors,106
\applications,\,106
\freely,\,106
liable,106
redistribute,106
\such,\,106
appreciated,106
damages,106
altered,106
\purpose,\,106
Altered,106
plainly,106
misrepresented;,106
restrictions:,106
commercial,106
arising,106
address,104
@addtogroup,104
Fast,104
false,103
sets,103
after,103
target,102
Gomila,101
call,101
Simple,101
Laurent,101
2007-2015,100
Multimedia,100
until,100
characters,100
(laurent@sfml-dev.org),100
\coordinates,\,100
events,99
gtc_matrix_integer,99
beginning,99
You,98
1.0,98
valid,97
---------------------------,97
rectangle,97
float,96
\0,\,95
otherwise,95
Sets,95
Overload,95
coordinates,94
space,93
button,93
Right,91
view,91
defined,91
error_handling),90
get,90
Left,89
pixel,89
00000000,89
****************************************************************************,89
Build,88
samples,88
doesn't,88
shape,87
read,87
[error](@ref,87
Headers,87
__m128,87
same,87
genType,86
transform,86
Pointer,85
video,84
currently,84
|,84
result,84
supported,83
support,83
detail,83
sf,83
axis,83
constructors,83
previously,82
extension),81
some,81
valType,81
X,81
\ingroup,80
bytes,80
\x,\,80
whether,80
\relates,79
---------------------,79
graphics,79
normalized,78
single,78
callbacks,78
coordinate,78
make,77
zero,77
given,76
how,76
