Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,435,127714,65716,28798,3775,17030,2775,44968,261724,9983,66508
E:\GAM200.git\DCEngine,435,127714,65716,28798,3775,17030,2775,44968,261724,9983,66508
E:\GAM200.git\DCEngine\Components,1,2,1,0,0,1,0,0,0,0,0
E:\GAM200.git\DCEngine\Core,52,3317,1376,818,74,747,80,1194,4533,405,963
E:\GAM200.git\DCEngine\Core\Debug,2,130,39,22,2,30,2,61,155,20,30
E:\GAM200.git\DCEngine\Core\Engine,5,506,191,121,16,96,21,219,995,58,122
E:\GAM200.git\DCEngine\Core\Events,4,102,34,15,0,27,0,41,126,34,118
E:\GAM200.git\DCEngine\Core\Objects,20,1168,506,316,27,259,27,403,1681,137,402
E:\GAM200.git\DCEngine\Core\Objects\Components,4,96,54,34,1,24,1,18,65,11,21
E:\GAM200.git\DCEngine\Core\Objects\Entities,4,433,173,107,20,88,6,172,770,21,82
E:\GAM200.git\DCEngine\Core\Objects\Resources,6,332,154,103,3,67,8,111,404,51,146
E:\GAM200.git\DCEngine\Core\Systems,19,1363,587,332,29,318,30,458,1552,146,270
E:\GAM200.git\DCEngine\Core\Systems\Gamestate,2,167,77,43,11,39,10,51,242,20,31
E:\GAM200.git\DCEngine\Core\Systems\Graphics,2,121,36,18,0,34,3,51,104,20,32
E:\GAM200.git\DCEngine\Core\Systems\Input,6,366,163,81,6,92,4,111,266,30,62
E:\GAM200.git\DCEngine\Core\Systems\Window,6,605,266,167,12,128,12,211,879,56,107
E:\GAM200.git\DCEngine\Dependencies,368,122581,63622,27512,3685,15913,2645,43046,251414,9497,65319
E:\GAM200.git\DCEngine\Dependencies\include,368,122581,63622,27512,3685,15913,2645,43046,251414,9497,65319
E:\GAM200.git\DCEngine\Dependencies\include\GLEW,3,22593,17232,6317,0,4420,720,941,6218,205,1785
E:\GAM200.git\DCEngine\Dependencies\include\GLFW,6,11094,1533,411,0,573,57,8988,51615,162,1086
E:\GAM200.git\DCEngine\Dependencies\include\GLFW\x64,2,3698,511,137,0,191,19,2996,17205,54,362
E:\GAM200.git\DCEngine\Dependencies\include\GLFW\x86,2,3698,511,137,0,191,19,2996,17205,54,362
E:\GAM200.git\DCEngine\Dependencies\include\GLM,243,55750,33394,14041,2174,7358,838,14998,96169,6442,45836
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail,75,26975,18163,7191,993,3269,315,5543,35661,2112,16344
E:\GAM200.git\DCEngine\Dependencies\include\GLM\gtc,27,8151,4245,2197,333,1105,149,2801,17863,911,6505
E:\GAM200.git\DCEngine\Dependencies\include\GLM\gtx,118,16780,9938,3887,848,2203,335,4639,29577,2720,17611
E:\GAM200.git\DCEngine\Dependencies\include\SFML,100,22747,4132,2063,131,2383,756,16232,84634,2317,14715
E:\GAM200.git\DCEngine\Dependencies\include\SFML\Audio,16,3354,501,288,4,350,78,2503,12706,371,2355
E:\GAM200.git\DCEngine\Dependencies\include\SFML\Graphics,27,7472,1003,596,8,678,205,5791,29800,622,3970
E:\GAM200.git\DCEngine\Dependencies\include\SFML\Network,11,3179,507,269,0,309,141,2363,12456,253,1617
E:\GAM200.git\DCEngine\Dependencies\include\SFML\System,24,5559,1347,665,119,668,69,3544,17512,565,3539
E:\GAM200.git\DCEngine\Dependencies\include\SFML\Window,14,2573,573,234,0,256,253,1744,10598,322,2058
E:\GAM200.git\DCEngine\Dependencies\include\SOIL2,16,10397,7331,4680,1380,1179,274,1887,12778,371,1897
E:\GAM200.git\DCEngine\Gamestates,3,89,37,19,0,30,2,22,60,0,0
E:\GAM200.git\DCEngine\Gamestates\Sandbox,2,86,35,19,0,29,2,22,60,0,0
E:\GAM200.git\DCEngine\Libraries,1,76,24,19,0,15,1,37,132,15,29
E:\GAM200.git\DCEngine\Projects,1,23,14,8,0,6,0,3,7,0,0
E:\GAM200.git\DCEngine\Projects\Dollhouse,1,23,14,8,0,6,0,3,7,0,0
E:\GAM200.git\DCEngine\Tutorials,9,1626,642,422,16,318,47,666,5578,66,197
E:\GAM200.git\DCEngine\Tutorials\OpenGL,9,1626,642,422,16,318,47,666,5578,66,197
