File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\GAM200.git\DCEngine\Core\Main.cpp,"main(int argc, char* args[])",12,5,5,0,6,0,1,2,
E:\GAM200.git\DCEngine\Core\Debug\Debug.cpp,Trace::Trace(std::string fileName),10,7,6,1,3,0,0,0,
E:\GAM200.git\DCEngine\Core\Debug\Debug.cpp,Trace::~Trace(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::Engine(),5,3,3,0,1,0,1,10,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::~Engine(),2,1,1,0,0,0,1,1,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::Initialize(),29,15,14,1,7,0,7,46,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::Update(float dt),19,8,8,0,5,0,6,46,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::Terminate(),9,6,5,1,3,0,0,0,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::Loop(),7,6,5,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::GetCurrentState() const,5,5,4,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::PushGamestate(GamestatePtr gamestate),7,5,4,0,1,0,1,1,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::PopGameState(),13,9,7,1,1,2,3,32,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::CreateSpace(std::string name),29,8,6,3,5,1,16,130,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::GetSpace(std::string name),19,5,4,2,3,0,11,84,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::SetActiveSpace(std::string name),14,9,7,2,3,0,2,16,
E:\GAM200.git\DCEngine\Core\Engine\Engine.cpp,Engine::GetActiveSpace(),3,3,3,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Engine\Engine.h,Engine::GetSystem(EnumeratedSystem sysType),8,6,4,3,1,0,1,11,
E:\GAM200.git\DCEngine\Core\Objects\Component.cpp,"Component::Component(EnumeratedComponent type, BitfieldComponent mask)",1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entity.cpp,Entity::Entity(std::string name),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entity.cpp,Entity::Update(float dt),3,3,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entity.cpp,Entity::CheckMask(mask m),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entity.cpp,Entity::AddComponent(std::shared_ptr<Component> component),13,3,3,0,6,0,4,26,
E:\GAM200.git\DCEngine\Core\Objects\Entity.cpp,Entity::Initialize(),4,4,3,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Components\Camera.cpp,Camera::GetViewMatrix(),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Components\Camera.cpp,Camera::UpdateCameraVectors(),10,8,8,0,0,0,2,12,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::GameSession(std::string& name),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::~GameSession(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::Initialize(),24,8,8,0,6,0,10,53,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::Update(float dt),8,5,4,1,2,0,1,4,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::CreateSpace(std::string name),27,8,6,3,4,0,15,119,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,GameSession::GetSpace(std::string name),16,5,4,2,3,0,8,55,
E:\GAM200.git\DCEngine\Core\Objects\Entities\GameSession.cpp,"GameSession::UpdateSpace(SpacePtr space, float dt)",2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::Space(std::string & name),6,3,2,1,1,0,2,2,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::~Space(),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::Initialize(),10,5,4,1,3,0,2,12,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::Update(float dt),21,7,4,3,4,0,10,71,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::AddSystem(SystemPtr system),10,8,5,3,2,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::LoadLevel(LevelPtr level),11,6,5,1,3,0,2,11,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::CreateEntity(),3,3,3,1,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::AddEntity(EntityPtr entity),5,4,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::PopulateEntities(SystemPtr sys) const,16,9,6,3,4,0,3,18,
E:\GAM200.git\DCEngine\Core\Objects\Entities\Space.cpp,Space::Clear(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,"GLShader::GLShader(std::string vertexPath, std::string fragmentPath)",6,4,4,0,0,0,2,6,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,"GLShader::Load(std::string vertexPath, std::string fragmentPath)",28,21,19,0,2,0,5,40,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,GLShader::Compile(),26,20,20,0,2,0,4,21,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,GLShader::Use(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,"GLShader::AssertShaderCompilation(GLuint shader, std::string shaderName)",15,12,9,1,2,2,1,18,
E:\GAM200.git\DCEngine\Core\Objects\Resources\GLShader.cpp,GLShader::AssertShaderProgramLinking(GLuint shaderProgram),15,12,9,1,2,2,1,18,
E:\GAM200.git\DCEngine\Core\Objects\Resources\Level.cpp,Level::~Level(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Objects\Resources\Level.cpp,Level::AddEntity(EntityPtr entity),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\System.cpp,DCEngine::System::ClearEntities(),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Gamestate\Gamestate.cpp,"Gamestate::Gamestate(std::string name, EnumeratedGamestate gamestate)",4,2,2,0,0,0,2,12,
E:\GAM200.git\DCEngine\Core\Systems\Gamestate\Gamestate.cpp,Gamestate::CheckSpaceActive(std::string space),5,5,3,4,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Gamestate\Gamestate.cpp,Gamestate::SetLogicalSpace(std::string name),4,4,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Graphics\GraphicsGL.cpp,GraphicsGL::GraphicsGL(),2,1,1,0,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Graphics\GraphicsGL.cpp,GraphicsGL::Initialize(),6,2,2,0,1,0,3,5,
E:\GAM200.git\DCEngine\Core\Systems\Graphics\GraphicsGL.cpp,GraphicsGL::Update(float dt),5,2,2,0,1,0,2,3,
E:\GAM200.git\DCEngine\Core\Systems\Graphics\GraphicsGL.cpp,GraphicsGL::Terminate(),5,2,2,0,1,0,2,3,
E:\GAM200.git\DCEngine\Core\Systems\Input\Input.cpp,Input::Input(),7,6,3,0,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\Input.cpp,Input::Initialize(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\Input.cpp,Input::Update(float dt),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\Input.cpp,Input::Terminate(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputGLFW.cpp,InputGLFW::InputGLFW(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputGLFW.cpp,InputGLFW::Initialize(),7,5,3,0,1,0,1,2,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputGLFW.cpp,InputGLFW::Update(float dt),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputGLFW.cpp,InputGLFW::Terminate(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::InputSFML(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::~InputSFML(),1,1,1,0,0,0,0,0,
