Word,Count
the,740
,540
************************************************************************,360
to,317
\brief,223
a,191
of,167
The,152
for,133
and,106
****************************************************************************,102
object,91
in,81
is,78
\param,73
component,71
!<,71
that,62
A,61
space,61
Christian,60
c.sagel\@digipen.edu,60
email:,60
\file,59
\author,59
\par,59
\date,59
Sagel,57
it,54
system,54
an,54
be,53
<<,51
all,46
pointer,46
this,45
from,43
event,43
data,43
=,42
shader,42
on,41
with,40
are,39
file,38
class,38
engine,35
function,34
if,34
by,32
\note,28
name,27
through,27
objects,26
will,26
as,26
//,25
texture,25
set,25
window,25
functions,24
its,24
default,24
{,23
\return,23
reference,23
camera,22
trace,22
was,22
@brief,21
we,21
Load,21
OpenGL,21
used,21
resource,21
into,21
entity,21
which,20
events,20
components,20
can,19
has,19
container,19
If,18
current,18
systems,18
interface,17
game,17
each,17
every,17
or,17
use,17
when,17
void,16
***************************************************************************,16
input,16
collision,16
Create,16
GLFW,16
This,15
level,15
using,15
#include,15
map,15
update,15
Initialize,15
not,14
GameObject,14
-,14
Initializes,14
matrix,14
list,14
position,14
keyboard,14
factory,13
active,13
\"\\,13
access,13
screen,13
uniform,13
graphics,13
Constructor,13
return,13
so,13
new,13
SpriteText,13
frame,13
Container,12
:,12
have,12
added,12
},12
project,12
need,12
Returns,12
resources,12
you,12
Libraries,12
at,12
Updates,12
then,12
entities,12
call,12
7/30/2015,12
@param,11
implementation,11
been,11
string,11
font,11
delegate,11
vector,11
*,11
want,10
@note,10
glyph,10
rendering,10
Creates,10
color,10
Store,10
these,10
physics,10
spaces,10
should,10
Loads,10
DCEngine,10
I,10
other,10
member,10
/,10
given,9
Headers,9
gamestate,9
Check,9
Systems,9
character,9
Update,9
order,9
image,9
up,9
values,9
projection,9
Set,9
their,9
It,9
2,9
Dispatch,9
only,9
first,9
SpriteSource,9
vertex,9
Sprite,9
gamesession,9
\"\\n"\;\,8
Draws,8
Render,8
constructor,8
updated,8
quad,8
DebugDraw,8
0,8
GameObjects,8
archetype,8
Adds,8
Forward,8
An,8
memory,8
key,8
program,8
Font,8
\\n"\;\,8
space's,8
engine's,8
pointers,8
declarations,8
buffer,8
For,8
SFML,8
Sets,7
Construct,7
sent,7
shaders,7
what,7
time,7
start,7
Terminates,7
one,7
velocity,7
pressed,7
1,7
VAO,7
object's,7
read,7
base,7
based,7
sound,7
create,7
Space,7
height,7
content,7
called,7
array,7
We,7
same,7
9/16/2015,7
running,7
found,7
do,7
instance,7
parameters,6
while,6
4,6
8/5/2015,6
fill,6
being,6
method,6
Tells,6
Checks,6
information,6
size,6
characters,6
error,6
When,6
uses,6
Add,6
specific,6
3,6
No,6
Engine,6
serialized,6
created,6
owner,6
segment,6
needs,6
Graphics,6
them,6
logic,6
way,6
******,6
composition,6
width,6
line,6
template,6
loop,6
2D,6
'Json::Value',6
serialization,6
our,5
different,5
coordinate,5
underlying,5
bool,5
success,5
no,5
GLEW,5
iteration,5
mouse,5
specified,5
Physics,5
needed,5
last,5
any,5
get,5
FMOD,5
via,5
sprites,5
Serialization,5
\components,\,5
passed,5
playing,5
Properties,5
Change,5
int,5
8/1/2015,5
put,5
Configures,5
they,5
Should,5
Content,5
rectangle,5
archetypes,5
sprite,5
Chen,5
several,5
my,5
view,5
load,5
mode,5
Now,5
Spaces,5
These,5
macro,5
loading,5
Dispatches,5
two,5
You,5
drawing,5
\space,\,5
context,5
operation,5
std::endl;,5
Transform,5
returns,5
NULL,5
requests,5
calls,5
source,5
draw,5
Texture,5
==,5
stores,5
holds,4
before,4
entity's,4
Throw,4
sounds,4
actually,4
bodies,4
contact,4
8/17/2015,4
decide,4
Deserialize,4
'Value',4
root,4
MEMBER,4
rendered,4
provides,4
Window,4
Input,4
initialized,4
System,4
registration,4
GameSession,4
down,4
Serialize,4
struct,4
receives,4
circle,4
path,4
Because,4
application,4
Polls,4
register,4
Connect,4
code,4
music,4
Access,4
Object,4
Model,4
\instance,\,4
library,4
after,4
pass,4
operations,4
Default,4
resolution,4
8/22/2015,4
handles,4
Arend,4
later,4
\component,\,4
done,4
typename,4
static,4
element,4
Scan,4
constructed,4
Calculate,4
Euler,4
here,4
loaded,4
Trace&,4
once,4
GPU,4
uniforms,4
GraphicsSpace,4
Reference:,4
about,4
act,4
he,4
Use,4
per,4
output,4
abstract,4
pixels,4
changed,4
collider,4
Iterate,4
GameObject*,4
ID,4
value,4
Component,4
during,4
true,4
files,4
Generate,4
now,4
doesn't,4
Registers,4
out,4
drawn,4
Level,4
number,4
Vertex,4
vertices,4
Functions,4
also,4
eventObj);,4
there,4
your,4
How,4
themselves,4
main,4
errors,3
ObjectFactory::BuildObject(string,3
\,"\\,3
_name,3
settings,3
forwarding,3
own,3
0);,3
//!<,3
Each,3
8/13/2015,3
itself,3
\Sagel,\,3
const,3
Setting,3
write,3
(!),3
Drawing,3
calling,3
to-be-deleted,3
Computes,3
Entity,3
textures,3
registry,3
\entity,\,3
Define,3
Components,3
GLFWwindow,3
GOC,3
Destructor,3
virtual,3
Delete,3
Subscribe,3
provided,3
Starts,3
\para,3
Number,3
directly,3
gamestate's,3
run,3
type,3
over,3
Register,3
Pitch,3
second,3
links,3
types,3
were,3
\engine,\,3
9/9/2015,3
Takes,3
<typename,3
\0,\,3
initialize,3
able,3
raw,3
small,3
fragment,3
Events,3
multiple,3
\game,\,3
Every,3
folder,3
models,3
adds,3
lookDir,3
give,3
match,3
elapsed,3
References:,3
sets,3
Get,3
'GameObject',3
Do,3
acceleration,3
100,3
exist,3
extract,3
gameobjects,3
plane,3
STD,3
serialize,3
\object,\,3
Base,3
stream,3
contains,3
face,3
add,3
since,3
configuring,3
Testing,3
8/18/2015,3
\them,\,3
front,3
easier,3
generating,3
Don't,3
elements,3
6,3
Debug,3
end,3
creator,3
pixel,3
metrics,3
throw,3
Camera,3
model,3
\class,\,3
Temporary,3
JSON,3
Up,3
Look,3
SERIALIZATION:,3
Call,3
construction,3
All,3
attributes,3
whether,3
Assert,3
\updated,\,3
shared,3
9/20/2015,3
much,3
ASCII,3
They,3
translation,3
top-left,3
(auto,3
KeyPressed.h,3
Serializes,3
updating,3
reads,3
Format,3
requested,3
Searches,3
properties,3
Unbind,3
Allows,3
Projection,3
matching,3
corner,3
Clear,3
adjusted,2
belonging,2
depending,2
positions,2
even,2
single,2
\"\http://learnopengl.com/#!Getting-started/Textures"\\,2
successful,2
ended,2
pairs,2
-180,2
system's,2
\"\http://www.learnopengl.com/#!Getting-Started/Hello-Window"\\,2
Save,2
vectors,2
rigid,2
render,2
whenever,2
float,2
sphere,2
version,2
sentence,2
coordinates,2
messages,2
where,2
'GameObjects',2
);,2
Serialize/Deserialize,2
creators,2
Front,2
Json::Value,2
*******,2
State;,2
send,2
shader's,2
Daisy,2
children,2
Utility,2
\Real3(0,\,2
\"\Coffee\,2
Filtering,2
DETECTED,2
handler,2
/////////////,2
individual,2
First,2
\Danielek,\,2
Search,2
fonts,2
occurs,2
>,2
filename,2
necessary,2
indicate,2
finished,2
Ends,2
(collider),2
(rigidbody),2
useful,2
owner),2
next,2
http://www.codeguru.com/cpp/cpp/cpp_mfc/pointers/article.php/c4135/DELEGATES-and-C.htm,2
Parse,2
20,2
gameObj,2
instructed,2
rate,2
techniques,2
\string,\,2
Resource.h,2
axis,2
5,2
depth,2
Chain,2
glewExperimental,2
Whether,2
dynamically,2
creation,2
\compiles,\,2
Currently,2
9/23/2015,2
public,2
encapsulated,2
containers,2
researched,2
4x4,2
action,2
bits,2
opacity,2
loader,2
id,2
callback,2
(camera.GetProjectionMatrix(),2
uint,2
9/11/2015:,2
(this.Owner.Transform.Translation,2
particular,2
True,2
http://www.codeproject.com/Articles/11015/The-Impossibly-Fast-C-Delegates,2
advance,2
too,2
Gab,2
Entity.h,2
popped,2
filename),2
his,2
gets,2
Json,2
\system,\,2
/******************************************************************************/,2
Can,2
LogicUpdate,2
After,2
Delegate.h,2
InputGLFW,2
internal,2
{},2
programmer,2
UPDATE,2
onto,2
transform,2
#define,2
copy,2
\Shu,\,2
Junior,2
VBO's,2
come,2
check,2
expands,2
compiled,2
*this;,2
integer,2
Calculates,2
solve,2
constructing,2
Trace,2
'StyledWriter',2
\0.0f,\,2
more,2
Real3,2
sends,2
Let's,2
compilation,2
Blaine,2
tells,2
well,2
calculate,2
\Position,\,2
walked,2
