File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::Initialize(),30,16,15,1,7,0,7,37,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::OnKeyDown(Event* eventObj),16,11,7,2,4,0,1,10,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::OnLogicUpdate(Events::LogicUpdate* event),2,2,2,0,0,0,0,0,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::GenerateMesh(),122,95,36,2,13,6,14,64,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,"GLCameraTutorial::GenerateTexture(const std::string imagePath, GLuint& texture)",56,17,16,1,9,0,30,357,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::GenerateProjection(),35,5,5,0,5,2,25,248,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::UpdateViewMatrix(),4,3,3,0,0,0,1,18,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::ApplyTexture(),9,7,7,0,0,0,2,4,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::ApplyProjection(),33,22,19,2,8,0,3,20,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::ApplyTransformation(GLuint box),17,9,8,0,4,0,4,39,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::CameraInitialize(),48,11,9,0,10,0,27,246,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::CameraUpdate(),12,2,2,0,1,0,9,75,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::Update(),27,11,9,2,8,0,8,17,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::Terminate(),5,4,4,0,0,0,1,9,
