http://cloc.sourceforge.net v 1.60  T=0.46 s (152.4 files/s, 18679.3 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Systems/GUI/ImGuiSFML.cpp                                       75            145            330
Core/Systems/Input/InputSFML.cpp                                     69             81            315
Core/Systems/DirectoryWatcher/MD5.cpp                                71             73            218
Core/Systems/Filesystem/FileSystem.cpp                               54            116            192
Core/Resources/Shader.cpp                                            38             85            177
Core/Systems/Filesystem/Old/FileSystem.cpp                           31            127            162
Core/Components/RigidBody.cpp                                        47            144            137
Core/Systems/Content/Content.cpp                                     38            132            128
Core/Systems/Reflection/MetaData.cpp                                 38             12            123
Core/Systems/DirectoryWatcher/sha1.cpp                               22             41            122
Core/Engine/Engine.cpp                                               56            127            112
Core/Components/DebugMoveController.cpp                              26             25            105
Core/Systems/Editor/Editor.cpp                                       27             77            102
Core/Systems/DirectoryWatcher/DirectoryWatcher.cpp                   25              5             98
Core/Objects/Entities/Space.cpp                                      37             78             97
Core/Systems/Audio/AudioFMOD.cpp                                     24             96             87
Core/Components/Camera.cpp                                           30             64             84
Core/Systems/Audio/Audio.cpp                                         22             72             81
Core/Components/Sprite.cpp                                           14             35             78
Core/Components/DebugCamera.cpp                                      15              2             77
Core/Systems/Window/WindowSFML.cpp                                   28             67             69
Core/Systems/Serialization/SerializerJSONCPP.cpp                     18             43             60
Core/Systems/Window/WindowGLFW.cpp                                   30             85             59
Core/Components/BoxCollider.cpp                                      21             20             59
Core/Resources/Font.cpp                                              20             36             57
Core/Systems/Window/Window.cpp                                       27             65             55
Core/Objects/Entities/GameObject.cpp                                 18             41             55
Core/Systems/DirectoryWatcher/SYSTEM.cpp                             18             21             53
Core/Objects/Entities/GameSession.cpp                                27             66             51
Core/Systems/GUI/GUI.cpp                                             17             42             51
Core/Objects/Entities/Keyboard.cpp                                   19              1             51
Core/Components/DebugReport.cpp                                      15             10             49
Core/Components/Orientation.cpp                                      25              0             47
Core/Systems/Factory/Factory.cpp                                     13             18             47
Core/Components/GraphicsSpace.cpp                                    15             34             47
Core/Components/CircleCollider.cpp                                   19             21             45
Core/Components/2DAnimation.cpp                                       6              0             45
Core/Systems/Input/Input.cpp                                         16              2             44
Core/Resources/SpriteSource.cpp                                      16             26             43
Core/Components/DebugAudio.cpp                                       13              6             42
Core/Objects/Entity.cpp                                              16             35             40
Core/Objects/Entities/Mouse.cpp                                      10              3             39
Core/Resources/Texture2D.cpp                                         11              5             37
Core/Debug/Debug.cpp                                                 20             70             35
Core/Objects/Component.cpp                                           15              8             35
Core/Components/PhysicsSpace.cpp                                     13             36             34
Core/Systems/Reflection/StringWrapper.cpp                            10              1             31
Core/Components/DebugCollider.cpp                                     9             10             29
Core/Systems/Serialization/Serialization.cpp                         10              3             29
Core/Systems/Reflection/RefVariant.cpp                                9              0             28
Core/Components/SoundEmitter.cpp                                     12             11             28
Core/Components/SoundSpace.cpp                                       13             25             27
Core/Resources/Mesh.cpp                                               7              7             27
Core/Components/DebugFade.cpp                                         8              2             27
Core/Systems/Reflection/Reflection.cpp                                8              3             26
Core/Systems/Reflection/Variant.cpp                                   8              3             24
Core/Daisy.cpp                                                        9             25             23
Core/Systems/Reflection/ReflectionZilch.cpp                          12             19             23
Core/Systems/Reflection/VariantBase.cpp                               9              0             22
Core/Components/Transform.cpp                                        11             24             22
Core/Debug/DebugGraphics.cpp                                          4              0             20
Core/Systems/Input/InputGLFW.cpp                                     11             22             19
Core/Components/SpriteText.cpp                                        6              2             16
Core/Components/CameraViewport.cpp                                    8              6             14
Core/Systems/Reflection/TypesMeta.cpp                                10              7             13
Core/Resources/SoundCue.cpp                                           4             11             12
Core/Components/TimeSpace.cpp                                        13              3             12
Core/Resources/Level.cpp                                              7             12              8
Core/Systems/System.cpp                                               3              9              4
Core/Engine/Delegate.cpp                                              3             89              3
-----------------------------------------------------------------------------------------------------
SUM:                                                               1429           2592           4561
-----------------------------------------------------------------------------------------------------
