http://cloc.sourceforge.net v 1.60  T=1.21 s (210.7 files/s, 21227.5 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Systems/Input/InputSFML_Keyboard.cpp                            43             76            442
Core/Systems/GUI/ImGuiSFML.cpp                                       81            166            333
Core/Systems/Editor/Properties.cpp                                   50            119            228
Core/Systems/DirectoryWatcher/MD5.cpp                                71             73            218
Core/Objects/Object.h                                                38             90            203
Core/Systems/Factory/Factory.cpp                                     62            181            202
Core/Systems/Filesystem/FileSystem.cpp                               57            121            194
Core/Resources/CollisionTable.cpp                                    47             22            190
Core/Objects/Entities/Keyboard.cpp                                   29             11            183
Core/Engine/Engine.cpp                                               66            156            179
Core/Components/RigidBody.cpp                                        57            160            178
Core/Resources/Shader.cpp                                            39             86            177
Core/Objects/Entities/Space.cpp                                      54            189            177
Core/Objects/Entity.h                                                35             99            171
Core/Systems/Filesystem/Old/FileSystem.cpp                           31            127            162
Core/Systems/Content/ContentAdd.cpp                                  47            129            162
Core/Components/Sprite.cpp                                           86            238            150
Core/Objects/Entities/GameObject.cpp                                 32            143            146
Core/Components/Camera.cpp                                           43             94            136
Core/Objects/Entity.cpp                                              36            151            135
Core/Systems/Editor/MainMenu.cpp                                     17             28            134
Core/Engine/Engine.h                                                 34             92            132
Core/Systems/Editor/Editor.h                                         16             33            125
Core/Systems/Reflection/MetaData.cpp                                 38             12            123
Core/Systems/DirectoryWatcher/sha1.cpp                               22             41            122
Core/Engine/Types.h                                                  20             14            122
Core/Systems/Editor/EditorInput.cpp                                  45             67            121
Core/Systems/Editor/Resources.cpp                                    30             65            118
Core/Systems/Reflection/RemoveQualifier.h                            19             16            117
Core/Systems/Editor/EditorTools.cpp                                  37             63            111
Core/Systems/Audio/Audio.cpp                                         31             90            110
Core/Systems/Editor/Editor.cpp                                       29            104            109
Core/Components/BoxCollider.cpp                                      30             73            106
Core/Components/DebugMoveController.cpp                              27             37            105
Core/Systems/Window/WindowSFML.cpp                                   36             82            102
Core/Systems/Reflection/MetaData.h                                   35             49             99
Core/Components/Transform.cpp                                        26             48             99
Core/Systems/DirectoryWatcher/DirectoryWatcher.cpp                   25              5             98
Core/Systems/Editor/Levels.cpp                                       26             32             95
Core/Objects/Component.h                                             34             21             92
Core/Systems/Reflection/ZilchInterface.cpp                           27            111             91
Core/Systems/Editor/PropertiesSelect.cpp                             19             68             90
Core/Systems/Input/InputSFML.cpp                                     23             59             90
Core/Systems/Input/InputSFML_Mouse.cpp                               27             46             88
Core/Systems/Editor/EditorSelect.cpp                                 30             72             85
Core/Components/EditorCameraController.cpp                           15             27             85
Core/Components/Reactive.cpp                                         19             70             82
Core/Systems/Audio/AudioFMOD.cpp                                     23             87             82
Core/Objects/Component.cpp                                           29             69             80
Core/Systems/Editor/MenuProject.cpp                                  26             75             79
Core/Systems/Editor/Library.cpp                                      20             51             79
Core/Binding/CoreBindingObjects.cpp                                  23             86             78
Core/Engine/Data.h                                                   19             39             76
Core/Systems/Content/Content.h                                       16             25             75
Core/Components/RigidBody.h                                          18             23             75
Core/Engine/Math.cpp                                                 17             11             74
Core/Components/Sprite.h                                             16             22             72
Core/Components/DebugCamera.cpp                                      16             12             71
Core/Systems/Window/Window.cpp                                       27             71             70
Core/Systems/Content/ContentGet.cpp                                  16             78             69
Core/Systems/Reflection/ZilchInterface.h                             21             21             69
Core/Systems/Content/Content.cpp                                     29             71             69
Core/Objects/Entities/Keyboard.h                                     25             11             63
Core/Debug/Debug.h                                                   24             11             62
Core/Systems/Editor/EditorSetup.cpp                                   9             36             60
Core/Components/PhysicsSpace.cpp                                     15             77             60
Core/Systems/Window/WindowGLFW.cpp                                   30             85             59
Core/Objects/Entities/GameSession.cpp                                33             78             59
Core/Components/GraphicsSpace.cpp                                    17             73             59
Core/Objects/Entities/Space.h                                        20             20             58
Core/Systems/Factory/Factory.h                                       11             33             58
Core/Components/Camera.h                                             15             31             57
Core/Resources/Font.cpp                                              22             51             57
Core/Systems/Input/Input.cpp                                         18             50             55
Core/Systems/Editor/Diagnostics.cpp                                   9             26             53
Core/Objects/Entities/GameObject.h                                   15             15             53
Core/Systems/Reflection/ZilchInterface_Library.cpp                   14             64             53
Core/Systems/DirectoryWatcher/Logger.h                                8              5             53
Core/Systems/DirectoryWatcher/SYSTEM.cpp                             18             21             53
Core/Resources/SpriteSource.h                                        23             17             53
Core/Resources/SpriteSource.cpp                                      17             42             52
Core/Components/CameraViewport.cpp                                   20             72             51
Core/Resources/CollisionTable.h                                      19             33             50
Core/Binding/CoreBinding.cpp                                         19             51             49
Core/Components/DebugReport.cpp                                      16             22             49
Core/Systems/Window/WindowSFML.h                                     16             18             49
Core/Resources/Shader.h                                              16             23             49
Core/Components/Orientation.cpp                                      25             15             47
Core/Components/CircleCollider.cpp                                   20             44             46
Core/Events/DispatchGameEvents.cpp                                    8             11             46
Core/Systems/GUI/GUI.cpp                                             15             47             45
Core/Systems/Reflection/Reflection.cpp                               23             55             45
Core/Components/Sprite_Animation.cpp                                  6             11             45
Core/Systems/GUI/ImGuiSFML.h                                         12             20             44
Core/Systems/Reflection/ReflectionMeta.h                              9             39             44
Core/Systems/Window/Window.h                                         14             14             43
Core/Systems/System.h                                                15             18             43
Core/Systems/DispatchSystemEvents.cpp                                11             11             43
Core/Components/BoxCollider.h                                        16             21             43
Core/Components/DebugAudio.cpp                                       14             18             42
Core/Components/GraphicsSpace.h                                      18             17             42
Core/Systems/Audio/Audio.h                                           17             13             41
Core/Systems/Input/InputSFML.h                                       17             14             41
Core/Objects/Object.cpp                                              14             53             41
Core/Resources/Texture2D.cpp                                         13             15             41
Core/Systems/Editor/MenuEdit.cpp                                     24             36             40
Core/Objects/Entities/GameSession.h                                  22             11             40
Core/Systems/DirectoryWatcher/MD5.h                                  19             34             40
Core/Components/SoundSpace.cpp                                       16             45             40
Core/Debug/Debug.cpp                                                 22             72             39
Core/Components/Transform.h                                          15             16             38
Core/Systems/Editor/MenuCreate.cpp                                    9             41             38
Core/Resources/Level.cpp                                             18             46             38
Core/Binding/CoreBindingTypes.cpp                                     4             23             37
Core/Systems/Audio/AudioFMOD.h                                       17             17             37
Core/Engine/Delegate.h                                               16             43             37
Core/Systems/Editor/WindowCreate.cpp                                  8             21             36
Core/Systems/Serialization/JSONObject.h                               9             13             35
Core/Objects/Entities/Mouse.cpp                                      13             13             35
Core/Resources/SoundCue.h                                            17             13             35
Core/Systems/Serialization/SerializerJSONCPP.h                       23             34             35
Core/Components/PhysicsSpace.h                                       14             16             34
