     100 files     200 files     300 files     376 text files.
classified 376 filesDuplicate file check 376 files (367 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               376 unique files.                              
Counting:  100Counting:  200Counting:  300      55 files ignored.

http://cloc.sourceforge.net v 1.60  T=1.79 s (195.4 files/s, 22193.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Systems/Input/InputSFML_Keyboard.cpp                            43             76            483
Core/Systems/GUI/ImGuiSFML.cpp                                       81            166            333
Core/Systems/Filesystem/FileSystem.cpp                               79            196            313
Core/Systems/Factory/Factory.cpp                                     62            270            278
Core/Systems/Content/ContentAdd.cpp                                  54            213            269
Core/Resources/Shader.cpp                                            39             99            234
Core/Components/Sprite.cpp                                           48             87            230
Core/Components/SpriteParticleSystem.cpp                             30             91            229
Core/Objects/Entities/Space.cpp                                      64            232            219
Core/Systems/DirectoryWatcher/MD5.cpp                                71             73            218
Core/Systems/Editor/EditorInspectorProperties.cpp                    43             91            217
Core/Objects/Entity.cpp                                              54            182            210
Core/Engine/Engine.cpp                                               61            183            206
Core/Resources/CollisionTable.cpp                                    62             41            206
Core/Objects/Entities/Keyboard.cpp                                   27             11            203
Core/Systems/Editor/ResourcesAdd.cpp                                 51            148            193
Core/Objects/Object.hpp                                              26             83            193
Core/Systems/Editor/EditorInspector.cpp                              34             93            189
Core/Systems/SystemsConfiguration.h                                  44             99            177
Core/Systems/Editor/EditorInput.cpp                                  46             57            165
Core/Engine/Types.h                                                  22             16            164
Core/Systems/Filesystem/Old/FileSystem.cpp                           31            127            162
Core/Systems/Editor/Editor.cpp                                       54            131            162
Core/Components/RigidBody.cpp                                        50            154            159
Core/Systems/Editor/Editor.h                                         17             41            158
Core/Systems/Editor/MenuSelect.cpp                                   48            130            155
Core/Objects/Entities/GameObject.cpp                                 33            143            154
Core/Systems/Content/Content.h                                       22             47            150
Core/Systems/Editor/EditorDiagnostics.cpp                            34             77            150
Core/Systems/Audio/Audio.cpp                                         37            139            148
Core/Objects/Component.cpp                                           45            130            142
Core/Systems/Editor/EditorTools.cpp                                  48            146            139
Core/Systems/Content/ContentGet.cpp                                  31             96            138
Core/Engine/Command.cpp                                              43            115            137
Core/Systems/Editor/ResourceEditors.cpp                              35             25            137
Core/Systems/Editor/Levels.cpp                                       35             68            135
Core/Engine/Action.h                                                 30             90            128
Core/Components/TransformToolComponent.cpp                           37             76            126
Core/Systems/Editor/MainMenu.cpp                                     18             23            125
Core/Systems/Reflection/MetaData.cpp                                 38             12            123
Core/Systems/DirectoryWatcher/sha1.cpp                               22             41            122
Core/Systems/Editor/EditorInspectorResources.cpp                     19             60            121
Core/Components/SpriteText.cpp                                       21             57            120
Core/Systems/Editor/EditorPreferences.cpp                            25             73            119
Core/Engine/Math.cpp                                                 25             12            118
Core/Systems/Reflection/ZilchInterface.cpp                           33            137            118
Core/Systems/Reflection/RemoveQualifier.h                            19             16            117
Core/Systems/GUI/GUI.cpp                                             30             93            116
Core/Systems/Editor/EditorToolsDraw.cpp                              37             53            113
Core/Components/Transform.cpp                                        36             68            112
Core/Systems/DispatchSystemEvents.cpp                                22             12            110
Core/Systems/Audio/AudioFMOD_Add.cpp                                 32             87            110
Core/Objects/Entity.hpp                                              17             91            109
Core/Systems/Editor/MenuCommands.cpp                                 33             81            108
Core/Objects/Component.h                                             34             23            108
Core/Components/Camera.cpp                                           33             88            108
Core/Binding/CoreBindingEvents.cpp                                    1             26            108
Core/Engine/Engine.h                                                 15             30            103
Core/Components/PhysicsSpace.cpp                                     21            154            102
Core/Components/EditorCameraController.cpp                           25             38            102
Core/Components/DebugMoveController.cpp                              24             37            102
Core/Components/SpriteParticleSystem_Particle.cpp                     8             25            102
Core/Engine/Profiler.cpp                                             24            114            101
Core/Systems/Reflection/MetaData.h                                   35             49             99
Core/Systems/DirectoryWatcher/DirectoryWatcher.cpp                   25              5             98
Core/Systems/Editor/Library.cpp                                      26             25             97
Core/Components/SpriteParticleSystem.h                               11             13             95
Core/Binding/CoreBinding.cpp                                         20             70             94
Core/Objects/Components/ZilchComponent.cpp                           24             81             93
Core/Systems/Editor/EditorTextEditor.cpp                             25             58             93
Core/Binding/CoreBindingEnums.cpp                                     5             11             92
Core/Binding/CoreBindingObjects.cpp                                  24             98             91
Core/Systems/Editor/TransformToolDraw.cpp                            24             29             91
Core/Systems/Input/InputSFML.cpp                                     23             59             90
Core/Systems/Audio/AudioFMOD_Playback.cpp                            20            100             90
Core/Systems/Editor/Resources.cpp                                    12             18             90
